en,es_la,Pt_br,ru,tk,zh_tw,zh
"Manage your events and engage your attendees, even at multiple events at the same time. ",Administra tus eventos e interactúa con tus asistentes en múltiples eventos al mismo tiempo.,"Gerencie seus eventos e interaja com seus participantes, mesmo em vários eventos ao mesmo tempo.",Управляйте своими мероприятиями и взаимодействуйте с участниками даже на нескольких мероприятиях одновременно., Etkinliklerinizi yönetin ve aynı anda birden fazla etkinlikte bile katılımcılarınızla iletişim kurun.,,您甚至可以在同一时间，高效运营与管理多个活动，与参会者互动社交。
,Crear y editar eventos,Crie e Edite Eventos,Создать и редактировать мероприятия,Etkinlik Oluşturun ve Düzenleyin,,创建 & 编辑活动页面
,Venta de Boletos,Venda de Ingressos,Продажа билетов,Bilet Satışı,,售票
,Registros de asistentes en el momento,Inscrições sem Agendamento,Регистрация на входе,Kapıda Kayıtlar,,现场注册
,Diseño e impresión de gafetes,Design e impressão de crachás,Дизайн и печать бейджей, Yaka Kartı Tasarımı ve Baskısı,,胸牌设计与打印
, Registros de Códigos QR sin problemas,Check-ins Fluidos por QR Code,Моментальная проверка билетов с помощью QR-кода,Sorunsuz QR Kodu Check-in'leri,,二维码流畅签到
,Membresías,Associações,Членства,Üyelikler,,会员管理
,Ve Más Allá <br>por Tus Miembros,Vá Além <br> Pelos Seus Membros,Сделай все <br> необходимое для членов организации,Üyeleriniz için <br> Ekstra Mili Gidin,,为您的会员<br>创造更多价值
"Impact your members while you are waiting in a cab, stuck on a plane, at a hospital, or anywhere else you can access the internet. ","Interactúa con los miembros de tu comunidad mientras estás en el tráfico, en un vuelo, en el hospital o en cualquier lugar donde tengas una conexión a internet.","Impacte seus membros enquanto você está esperando em um táxi, preso em um avião, no hospital ou em qualquer outro lugar onde você possa acessar a Internet.","Работайте для членов организации, пока ждете в такси, в самолете, в больнице или в любом другом месте, где вы можете получить доступ к интернету.","Takside beklerken, uçakta takılıp kalmışken, hastanede veya internete erişebileceğiniz başka bir yerde üyelerinizi etkileyin.",,无论您身在何处，只要能连接网络，您就能随时随地管理您的社群与会员。
,Revisar aplicaciones,Revisar Inscrições,Рассмотрение заявок,Uygulamaları İncele,,申请信息审核
,Administración de renovación,Gerenciamento de Renovações,Управление продлением,Yenileme Yönetimi,,会员续费管理
,Directorio de miembros,Diretório de Associações,Каталог членов,Üyelik Rehberi,,会员名录
,Perfil de miembro,Perfil de Membro,Профиль члена,Üye Profili,,会员资料
,Boletines y Actualizaciones,Boletins Informativos e Atualizações,Новости и обновления,Bültenler ve Güncellemeler,,最新资讯
,Administración de Equipos,Gerenciamento de Time,Управление командой,Ekip Yönetimi,,团队管理
, Trabaja en equipos en varios proyectos a la misma vez y centraliza todas tus tareas en un panel para un fácil acceso.,Trabalhe com diferentes equipes em vários projetos ao mesmo tempo e centralize todas as suas tarefas em um painel para fácil acesso.,Работайте в разных командах над несколькими проектами одновременно и централизуйте все свои задачи в одной информационной мониторинга для быстрого доступа., Ekipler arasında aynı anda birden fazla proje üzerinde çalışın ve kolay erişim için tüm görevlerinizi tek bir panoda merkezileştirin.,,一体化控制面板，多种模块与功能，助力您轻松进行跨团队协作，便捷、集中地管理您的工作任务。
,Comprende la interacción y toma acción,Entenda o Engajamento e Tome Medidas,Изучите вовлеченность и примите меры,Etkileşimi Anlayın ve Harekete Geçin,,全面洞悉互动数据，为行动部署提供依据
,"Manténte actualizado en todo lo que tienes que hacer con seguimiento, análisis e informes automatizados.","Mantenha-se atualizado sobre tudo o que está acontecendo com acompanhamento automatizado, análises e relatórios em tempo real.","Будьте в курсе всего, что у вас происходит, с помощью автоматического отслеживания, аналитики и отчетов в режиме реального времени."," Otomatik izleme, analizler ve gerçek zamanlı raporlarla devam eden her şeyden haberdar olun.",,自动化数据追踪、分析与反馈报告，实时掌握各模块最新动态进展。
,Estadísticas de Registro en tiempo real,Estatísticas de Check-in Ao Vivo,Онлайн статистика проверки билетов,Canlı Check-in İstatikleri,,活动签到数据实时动态展示
"Stay in the <span class=""line""><ins>Know.</ins></span><br>Always.",Siempre al pié <br> del cañon,"Fique <span class=""line""><ins>Por Dentro</ins></span><br> Sempre.","Оставайтесь всегда <span class=""line""><ins>в курсе</ins></span><br>"," <Span class = ""line""> <ins> Bilin </ins> </span> <br> Her Zaman İçinde Kalın.",時刻掌握重要信息,消除数据孤岛
,Centraliza todos tus datos en un sólo lugar y obtén una visión profunda de tu comunidad para que puedas comprender la interacción y mejorar tus campañas.,Centralize todos os seus dados em um só lugar e obtenha insights profundos sobre sua comunidade para entender o engajamento e melhorar suas campanhas.,"Централизуйте все данные в одном месте и получайте полное представление о своем сообществе, анализируйте взаимодействие и повышайте эффекктивность кампании.","Tüm verilerinizi tek bir yerde merkezileştirin ve topluluğunuzla ilgili derinlemesine içgörüler elde edin, böylece katılımı anlayabilir ve kampanyalarınızı geliştirebilirsiniz.",在統壹的平臺集中管理您的所有數據信息，全方位深入了解您的社群組織與會員互動，為每壹次的活動優化積蓄力量。,统一集中管理您的所有数据，其中包括客户（会员）的基础信息，以及其与企业（社群组织）的互动等信息，通过数据的精细化运营，持续优化您的营销活动。
